,datetime,latitude,longitude,city,state,duration,shape,comments
68812,2010-07-04 21:10:00,44.6397222,-73.1108333,milton,vt,180,light,Slow-moving orb circles around house
68813,2010-07-04 21:10:00,38.8105556,-90.6997222,o&#39fallon,mo,480,sphere,White/silver orb over O&#39Fallon on 7/4/10
68815,2010-07-04 21:15:00,37.5455556,-97.2686111,derby,ks,10800,other,Formations of glowing and non-glowing spheres hovering over a Kansas city.
68816,2010-07-04 21:15:00,35.5005556,-94.0513889,mulberry,ar,360,circle,Orange circle-shaped light&#44 moved fast&#44 appearance changed with angle&#44  5&#44000 ft alt. no markers lights &#44
68817,2010-07-04 21:15:00,41.1144444,-83.1780556,tiffin,oh,60,unknown,fiery looking object moved across the sky
68818,2010-07-04 21:15:00,41.3033333,-75.7869444,yatesville,pa,30,oval,It looked like an  airplane dressed up with cloth.
68819,2010-07-04 21:17:00,38.8105556,-90.6997222,o&#39fallon,mo,60,sphere,Orange/amber sphere moving south to north over O&#39Fallon&#44 MO
68820,2010-07-04 21:20:00,40.7519444,-80.3194444,beaver falls,pa,300,light,I seen the strange lights as seen by others&#44I thought I was the only one till I heard more about this specific type of ufo on CTC tonig
68821,2010-07-04 21:25:00,41.6986111,-88.0683333,bolingbrook,il,600,disk,2 Saucer  Dish Like objects in the sky glowing orange
68822,2010-07-04 21:30:00,39.0283333,-84.2177778,amelia,oh,60,circle,Large Orange Circle&#44 low to the ground&#44 under the clouds&#44 silent and moving very slow across the sky on July 4&#44 2010
68823,2010-07-04 21:30:00,42.0883333,-87.9805556,arlington heights,il,600,circle,Orange glow shapes fly by right before and during a fireworks show from one end of the horizon to the next.
68824,2010-07-04 21:30:00,41.4994444,-81.6955556,cleveland,oh,900,oval,red lites above western sky of cleveland ohio
68825,2010-07-04 21:30:00,38.9988889,-84.6266667,florence,ky,3600,light,Bright orange light seen over boone county
68826,2010-07-04 21:30:00,41.92,-84.6305556,hillsdale,mi,10,fireball,Fireball flew overhead on the 4th of July
68827,2010-07-04 21:30:00,32.8544444,-79.975,north charleston,sc,120,sphere,White light in North Charleston&#44 SC
68828,2010-07-04 21:30:00,28.5380556,-81.3794444,orlando,fl,240,fireball,On the 4th of July around 9:30 pm&#44 me and my son saw a ball of light moving west across the sky at steady pace &#44 which seemed slow&#44 but
68829,2010-07-04 21:30:00,41.6269444,-88.2038889,plainfield,il,180,fireball,Fireball over Plainfield&#44 Illinois.
68830,2010-07-04 21:30:00,28.2713889,-82.7197222,port richey,fl,240,sphere,odd orangeish spheres going east to west then again the next night
68831,2010-07-04 21:30:00,33.6408333,-117.6022222,rancho santa margarita,ca,2100,unknown,the  flight pattern of the craft and consistancy of the lights and speed does not exist  on earth&#44 abrasive
68832,2010-07-04 21:30:00,37.7991667,-88.2611111,ridgway,il,60,cigar,Long orange light with ball at end &#44 traveling at same speed and height&#44 no sounds
68833,2010-07-04 21:30:00,35.2505556,-91.7361111,searcy,ar,300,circle,I and six friends were outside shooting fireworks when we noticed an bright orange orb like object over the treeline to our west.  It a
68834,2010-07-04 21:30:00,42.1013889,-72.5902778,springfield,ma,300,triangle,Lots of details about three orange lights springfield&#44 mass. Heard you on coast to coast&#44 freaked out.
68836,2010-07-04 21:30:00,39.7475,-75.3108333,swedesboro,nj,120,teardrop,One red fireball&#44 and seemingly teardrop shaped object.
68837,2010-07-04 21:30:00,39.0483333,-95.6777778,topeka,ks,120,triangle,Orange object of July 4&#44 2010&#44 in Topeka&#44 Kansas
68838,2010-07-04 21:30:00,42.5063889,-71.0733333,wakefield,ma,600,light,5 Red/Orange lights&#44 turn to 3&#44 then disappear on July 4th&#44 Wakefield&#44 MA
68839,2010-07-04 21:30:00,40.6936111,-89.5888889,west peoria,il,120,circle,On July 4th&#44 2010&#44 I saw 2 red ball in the night sky traveling northwesterly&#44 andthe dissapeared in the tree line.
68840,2010-07-04 21:34:00,47.5675,-121.8875,fall city,wa,300,circle,Orange fireball flying West in Washington State on July 4th.
68841,2010-07-04 21:35:00,41.3947222,-73.4544444,danbury,ct,25,teardrop,triangular/teardrop shaped orange light with a slight flicker to it rocketing across the sky with no sound
68842,2010-07-04 21:40:00,41.3977778,-79.8316667,franklin,pa,5,circle,Orange&#44 circular light with steady motion that &quot;winked out.&quot;
